,Company,Year,ret,Sentiment_Score,Mkt-RF,RF
79,CNP,2016,0.4562705677159189,-0.0745069,5.30%,1.84%
80,COF,2016,0.398839580443078,0.042779776,5.30%,1.84%
81,COO,2016,0.12518749787721006,0.108420782,5.30%,1.84%
82,COP,2016,0.26146884643761426,-0.025616892000000002,5.30%,1.84%
83,COST,2016,0.05832763565962629,0.085215766,5.30%,1.84%
84,COTY,2016,0.009792448507916163,0.066442334,5.30%,1.84%
85,CPB,2016,0.3240219721664903,-0.03326495,5.30%,1.84%
86,CRM,2016,0.02278699356494096,0.06612072599999999,5.30%,1.84%
87,CSCO,2016,0.296986818142726,0.12799898,5.30%,1.84%
88,CSX,2016,1.2183089564116618,0.197219975,5.30%,1.84%
89,CTAS,2016,0.17339032290353473,0.263239471,5.30%,1.84%
90,CTSH,2016,-0.13909848598222785,0.113651679,5.30%,1.84%
91,CTXS,2016,0.28533160915433053,0.054418612000000005,5.30%,1.84%
92,CVS,2016,-0.17563603214144485,0.0,5.30%,1.84%
93,CVX,2016,0.36943139364131783,0.0,5.30%,1.84%
94,D,2016,0.11438445630702732,-0.076184744,5.30%,1.84%
95,DAL,2016,0.07191675801610442,0.143803119,5.30%,1.84%
96,DD,2016,0.4627466242405236,-0.000269395,5.30%,1.84%
97,DE,2016,0.29756929189436554,0.0,5.30%,1.84%
98,DFS,2016,0.5453073998952276,-0.049970499,5.30%,1.84%
99,DG,2016,0.0280921978922668,0.160039903,5.30%,1.84%
100,DGX,2016,0.4026725683494572,0.0,5.30%,1.84%
101,DHI,2016,-0.010203391432180076,0.230155572,5.30%,1.84%
102,DHR,2016,0.24113111168287116,0.259243934,5.30%,1.84%
103,DLR,2016,0.3875059787456081,-0.061857712,5.30%,1.84%
104,DLTR,2016,0.00412915213482723,0.036827597000000004,5.30%,1.84%
105,DOV,2016,0.3914557325350525,-0.082882814,5.30%,1.84%
106,DRI,2016,0.05949681940705531,0.0,5.30%,1.84%
107,DTE,2016,0.17688929439773182,0.036607047999999996,5.30%,1.84%
108,DVA,2016,-0.06022852644154941,-0.008549993,5.30%,1.84%
109,DVN,2016,0.7557510648468546,0.06571115799999999,5.30%,1.84%
110,EA,2016,0.08263031528790776,0.10558372,5.30%,1.84%
111,EBAY,2016,0.34377597282798633,0.006645661999999999,5.30%,1.84%
112,ECL,2016,0.14494734647549423,0.084280831,5.30%,1.84%
113,ED,2016,0.07893748699765868,0.0,5.30%,1.84%
114,EFX,2016,0.10969976887614896,0.155471216,5.30%,1.84%
115,EIX,2016,0.18764299034941012,-0.080429423,5.30%,1.84%
116,EL,2016,0.05733010478436662,0.228719972,5.30%,1.84%
117,EMN,2016,0.3185876123442366,-0.151244495,5.30%,1.84%
118,EMR,2016,0.11433487770111395,-0.112020886,5.30%,1.84%
119,ENDP,2016,-0.7912320932768675,-0.072153751,5.30%,1.84%
120,EOG,2016,0.4757738860991212,0.005542209,5.30%,1.84%
121,EQIX,2016,0.2668423950629446,0.142411628,5.30%,1.84%
122,EQR,2016,-0.042729563272905335,0.085434676,5.30%,1.84%
123,EQT,2016,0.03580399591531047,0.024734592000000003,5.30%,1.84%
124,ES,2016,0.03079535878345996,0.092490782,5.30%,1.84%
125,ESS,2016,0.07209795806101837,-0.00014179,5.30%,1.84%
126,ETN,2016,0.4552896506236954,0.0,5.30%,1.84%
127,EW,2016,0.22361738819674892,0.226199467,5.30%,1.84%
128,EXPD,2016,0.19141344683403383,0.0022697629999999997,5.30%,1.84%
129,EXPE,2016,0.20039027114251384,0.128062087,5.30%,1.84%
130,EXR,2016,-0.16208987945734443,0.06538618,5.30%,1.84%
131,F,2016,0.07766290580837554,0.222620106,5.30%,1.84%
132,FAST,2016,0.27654087475825406,0.256684804,5.30%,1.84%
133,FBHS,2016,0.16897611573130034,0.183235365,5.30%,1.84%
134,FDX,2016,-0.10243772161516307,0.0,5.30%,1.84%
135,FE,2016,-0.05763430905765543,-0.11351123800000001,5.30%,1.84%
136,FFIV,2016,0.25417432433124754,0.031489373,5.30%,1.84%
137,FIS,2016,0.3312433102937631,0.131996538,5.30%,1.84%
138,FISV,2016,0.14602096405889897,0.384784165,5.30%,1.84%
139,FITB,2016,0.7175198856475196,0.051267149000000005,5.30%,1.84%
140,FL,2016,0.12995603955927582,0.24564523100000002,5.30%,1.84%
141,FLR,2016,0.2798247653177264,0.016304195,5.30%,1.84%
142,FLS,2016,0.33674642615472306,-0.137847523,5.30%,1.84%
143,FMC,2016,0.7204723320742297,0.053831019,5.30%,1.84%
144,FRT,2016,-0.06084603956131851,0.00365941,5.30%,1.84%
145,FSLR,2016,-0.5512801722810721,0.071241028,5.30%,1.84%
146,GD,2016,0.39429925069002847,0.252841539,5.30%,1.84%
147,GILD,2016,-0.12950848174845497,0.116255594,5.30%,1.84%
148,GIS,2016,0.21679103572356584,0.064071362,5.30%,1.84%
149,GLW,2016,0.4725573675705017,0.055979015,5.30%,1.84%
150,GM,2016,0.26565560136340305,-0.044962485,5.30%,1.84%
151,GOOGL,2016,0.06884024438371883,0.124023865,5.30%,1.84%
152,GPC,2016,0.18882704496524982,0.285119489,5.30%,1.84%
153,GPN,2016,0.38088060546969027,0.14926483,5.30%,1.84%
154,GPS,2016,-0.312631173628546,0.040343361,5.30%,1.84%
155,GRMN,2016,0.49339845816470307,0.194999526,5.30%,1.84%
156,GS,2016,0.4878522967921439,0.029709557999999997,5.30%,1.84%
157,GT,2016,0.0943059628649503,-0.011285485,5.30%,1.84%
158,GWW,2016,0.31767330069548705,-0.067302078,5.30%,1.84%
159,HAL,2016,0.8172620382232796,0.0,5.30%,1.84%
160,HAS,2016,0.2109882957248137,0.159530022,5.30%,1.84%
161,HBAN,2016,0.6209368506393438,0.18520191600000002,5.30%,1.84%
162,HBI,2016,0.13474545670619764,0.148736909,5.30%,1.84%
163,HBI,2016,-0.2388964522280188,0.017671769,5.30%,1.84%
164,HCA,2016,0.11644630555095414,0.136766514,5.30%,1.84%
165,HD,2016,0.10476228464029713,0.30519503600000003,5.30%,1.84%
166,HES,2016,0.31599522559436855,-0.087163973,5.30%,1.84%
167,HIG,2016,0.2516483908696363,-0.001180352,5.30%,1.84%
168,HOG,2016,0.4867073273735669,0.047798157,5.30%,1.84%
169,HOLX,2016,0.012198331891820846,0.15243590199999998,5.30%,1.84%
170,HON,2016,0.18969246765497205,0.018056023,5.30%,1.84%
171,HPE,2016,0.6219528730089872,-0.032672417,5.30%,1.84%
172,HPQ,2016,0.2773563804692345,-0.09883126699999999,5.30%,1.84%
173,HRB,2016,-0.3126849758038074,-0.058362141,5.30%,1.84%
174,HRL,2016,0.009849655055859996,0.0,5.30%,1.84%
175,HSIC,2016,0.09412575282915348,0.06025349,5.30%,1.84%
176,HST,2016,0.3783664892480938,-0.04263548599999999,5.30%,1.84%
177,HSY,2016,0.20514755121131367,0.132804127,5.30%,1.84%
178,HUM,2016,0.19653741865845364,-0.01935709,5.30%,1.84%
179,IBM,2016,0.4619798100696144,0.0,5.30%,1.84%
180,ICE,2016,0.09919415744973747,0.031810106,5.30%,1.84%
181,IDXX,2016,0.6876750339609561,0.187847635,5.30%,1.84%
182,IFF,2016,0.024065996284277302,0.215484628,5.30%,1.84%
183,INTC,2016,0.30589556967327813,0.265434028,5.30%,1.84%
184,INTU,2016,0.3117482277380361,0.10455751,5.30%,1.84%
185,IP,2016,0.7422359830382985,0.108628741,5.30%,1.84%
186,IPG,2016,0.09220700347444688,0.183749522,5.30%,1.84%
187,IRM,2016,0.400818986996043,-0.082661845,5.30%,1.84%
188,ISRG,2016,0.270583278268282,0.25510941,5.30%,1.84%
189,ITW,2016,0.46370642922300664,0.35388137,5.30%,1.84%
190,IVZ,2016,0.04268360060221821,-0.000317257,5.30%,1.84%
191,JBHT,2016,0.3645282446433338,0.29329731600000003,5.30%,1.84%
192,JCI,2016,0.20546448778362492,0.024553032000000002,5.30%,1.84%
193,JNJ,2016,0.042950748108842474,0.025401253999999998,5.30%,1.84%
194,JNPR,2016,0.10520047999907711,0.215976024,5.30%,1.84%
195,JPM,2016,0.5029444638309335,0.0,5.30%,1.84%
196,K,2016,0.14092151193690805,0.237570447,5.30%,1.84%
197,K,2016,0.014215044342491323,0.258904189,5.30%,1.84%
198,KEY,2016,0.6735450375000722,0.125912078,5.30%,1.84%
199,KHC,2016,0.20606651760121997,0.052927666,5.30%,1.84%
200,KIM,2016,-0.05860984868562735,0.025801105,5.30%,1.84%
201,KLAC,2016,0.5207134197611791,0.021671718,5.30%,1.84%
202,KMB,2016,-0.037451675069818835,0.029656857000000002,5.30%,1.84%
203,KMI,2016,0.4830864283002143,-0.223015763,5.30%,1.84%
204,KMX,2016,-0.26596358744220616,0.285781651,5.30%,1.84%
205,KO,2016,-0.006418486501603482,0.127832682,5.30%,1.84%
206,KR,2016,0.13773268941518935,0.068308149,5.30%,1.84%
207,KSS,2016,-0.35145501753612907,0.207131643,5.30%,1.84%
208,L,2016,0.2631149870080056,0.012156778,5.30%,1.84%
209,LEG,2016,0.16642124712244666,0.340802458,5.30%,1.84%
210,LEN,2016,-0.12709590005893345,0.107760224,5.30%,1.84%
211,LH,2016,0.1801907377451344,-0.078658175,5.30%,1.84%
212,LKQ,2016,0.16495981236763546,0.19991383399999998,5.30%,1.84%
213,LLY,2016,-0.021631722581103907,-0.076860662,5.30%,1.84%
214,LMT,2016,0.23935249728511998,-0.0046339020000000005,5.30%,1.84%
215,LNC,2016,0.786035216440945,-0.088150601,5.30%,1.84%
216,LNT,2016,0.15439316143587667,0.043372764,5.30%,1.84%
217,LOW,2016,-0.08690705145274236,0.319909083,5.30%,1.84%
218,LRCX,2016,0.19680211707878725,0.114690761,5.30%,1.84%
219,LUV,2016,0.37888282376497706,0.036778427,5.30%,1.84%
220,LYB,2016,0.2725686499156401,0.047437012,5.30%,1.84%
221,MA,2016,0.2432713261312247,-0.029179734,5.30%,1.84%
222,MAA,2016,0.045289949313209066,0.081617572,5.30%,1.84%
223,MAC,2016,-0.10667434370101825,0.017316738999999998,5.30%,1.84%
224,MAR,2016,0.41112244908757667,0.325809473,5.30%,1.84%
225,MAS,2016,0.28362530391498253,0.49313913,5.30%,1.84%
226,MAT,2016,0.03252850208589675,-0.100675868,5.30%,1.84%
227,MCD,2016,0.017671175930413785,0.275291393,5.30%,1.84%
228,MCHP,2016,0.06872470565196465,0.029880267999999998,5.30%,1.84%
229,MCK,2016,-0.24174818558662003,-0.042107965,5.30%,1.84%
230,MCO,2016,0.19761422437151577,0.24662162899999998,5.30%,1.84%
231,MDLZ,2016,0.057692185826631937,-0.021050327,5.30%,1.84%
232,MDT,2016,0.07286258645612165,0.311935507,5.30%,1.84%
233,MET,2016,0.2850511005530343,-0.014319568000000001,5.30%,1.84%
234,MHK,2016,0.28540754677407953,0.083781754,5.30%,1.84%
235,MKC,2016,0.0972075582285461,0.19730591100000003,5.30%,1.84%
236,MLM,2016,0.9192298381597859,0.0,5.30%,1.84%
237,MMC,2016,0.3093051142429304,0.102619665,5.30%,1.84%
238,MMM,2016,0.21105135696929778,0.205510523,5.30%,1.84%
239,MNST,2016,-0.07378303791289365,0.091772263,5.30%,1.84%
240,MO,2016,0.213023872679045,-0.033824297,5.30%,1.84%
241,MOS,2016,0.3483930821874368,0.0,5.30%,1.84%
242,MPC,2016,0.2006674684242411,-0.027660868999999998,5.30%,1.84%
243,MRK,2016,0.2495426956517124,-0.082485963,5.30%,1.84%
244,MRO,2016,0.7278583525141464,0.08101973,5.30%,1.84%
245,MS,2016,0.7159348341229113,0.01561954,5.30%,1.84%
246,MSFT,2016,0.24045615642227314,-0.014912423999999999,5.30%,1.84%
247,MSI,2016,0.250450202234592,0.155194655,5.30%,1.84%
248,MTB,2016,0.5452588978914701,0.121238544,5.30%,1.84%
249,MTD,2016,0.3300768555931548,0.325202587,5.30%,1.84%
250,MU,2016,0.009106401712399403,0.096031125,5.30%,1.84%
251,MUR,2016,0.6249412654572126,-0.071381403,5.30%,1.84%
252,NAVI,2016,0.7010684069270672,-0.077510471,5.30%,1.84%
253,NEE,2016,0.11627038224749286,0.037945009,5.30%,1.84%
254,NEM,2016,0.7081185718475096,0.010841321000000001,5.30%,1.84%
255,NFLX,2016,0.500903461761885,0.102691205,5.30%,1.84%
256,NI,2016,0.05439980450758375,0.08117327099999999,5.30%,1.84%
257,NKE,2016,0.03276460285374916,0.377345902,5.30%,1.84%
258,NOC,2016,0.2364341710291935,-0.04516353,5.30%,1.84%
259,NOV,2016,0.19637885458569349,-0.30039462100000003,5.30%,1.84%
260,NRG,2016,0.5374415224701712,-0.059913283,5.30%,1.84%
261,NSC,2016,0.7540035154962357,0.102446985,5.30%,1.84%
262,NTAP,2016,-0.19576353526792234,0.01357355,5.30%,1.84%
263,NTRS,2016,0.38597450947951883,0.07350287900000001,5.30%,1.84%
264,NUE,2016,0.5806063269433099,0.0,5.30%,1.84%
265,NVDA,2016,0.49199111632133197,0.069134088,5.30%,1.84%
266,NWL,2016,0.20608172001645708,0.007089376,5.30%,1.84%
267,NWS,2016,-0.05337196800199395,-0.17548208899999998,5.30%,1.84%
268,NWSA,2016,-0.11633793024019656,-0.17548208899999998,5.30%,1.84%
269,O,2016,0.08840546135773764,0.035398413,5.30%,1.84%
270,OKE,2016,1.4210684220743697,-0.021774602,5.30%,1.84%
271,OMC,2016,0.20831977398833557,-0.000361781,5.30%,1.84%
272,ORLY,2016,-0.012667239779688977,0.24629130800000001,5.30%,1.84%
273,OXY,2016,0.06450073353980468,0.08511266699999999,5.30%,1.84%
274,PAYX,2016,0.3132811233158319,0.29777112699999997,5.30%,1.84%
275,PBI,2016,-0.15623670072223994,0.031709441,5.30%,1.84%
276,PCAR,2016,0.4299668371540277,0.026086611000000003,5.30%,1.84%
277,PCG,2016,0.12723057628271994,-0.020641472,5.30%,1.84%
278,PDCO,2016,0.055566749787321124,0.009792843,5.30%,1.84%
279,PEG,2016,0.08448158240338688,-0.130734944,5.30%,1.84%
280,PEP,2016,0.11259180388748624,0.057560035,5.30%,1.84%
281,PFE,2016,0.07703369912856428,0.0,5.30%,1.84%
282,PFG,2016,0.5746206867761041,0.084949712,5.30%,1.84%
283,PG,2016,0.15469445857038955,-0.056383462999999995,5.30%,1.84%
284,PGR,2016,0.22998720963877783,0.0,5.30%,1.84%
285,PHM,2016,0.32067523276937493,0.211978312,5.30%,1.84%
286,PKI,2016,0.08778276621069292,0.056767534,5.30%,1.84%
287,PLD,2016,0.2786537809524925,0.087190957,5.30%,1.84%
288,PM,2016,0.11954933524903821,-0.023736748,5.30%,1.84%
289,PNC,2016,0.4316151205683265,0.080284615,5.30%,1.84%
290,PNR,2016,0.33309713046382905,0.003502408,5.30%,1.84%
291,PNW,2016,0.17565181994255608,0.031234955,5.30%,1.84%
292,PPG,2016,0.08418498652269713,0.25314634399999997,5.30%,1.84%
293,PPL,2016,-0.00111936477554897,0.023202412000000002,5.30%,1.84%
294,PRGO,2016,-0.6128385926048947,0.010414121,5.30%,1.84%
295,PRU,2016,0.573014078484734,0.053285912000000005,5.30%,1.84%
296,PSA,2016,-0.12672615720532177,0.110543854,5.30%,1.84%
297,PSX,2016,0.06865952755929006,-0.005294803000000001,5.30%,1.84%
298,PVH,2016,-0.21907166493790042,-0.049498033,5.30%,1.84%
299,PWR,2016,0.9509336519917111,-0.008597601,5.30%,1.84%
300,PXD,2016,0.4628625754398199,-0.08216014,5.30%,1.84%
301,PYPL,2016,0.07497299466065854,0.045868177999999996,5.30%,1.84%
302,QCOM,2016,0.18546406053195308,-0.17633583100000003,5.30%,1.84%
303,QRVO,2016,-0.3554851187219308,0.073559684,5.30%,1.84%
304,R,2016,0.4641052537573318,0.153894997,5.30%,1.84%
305,RCL,2016,0.14225197723480432,0.063780161,5.30%,1.84%
306,REGN,2016,-0.1763693091814449,0.001265852,5.30%,1.84%
307,RHI,2016,0.08926209787125128,0.189104425,5.30%,1.84%
308,RIG,2016,0.4147089310966894,-0.093387811,5.30%,1.84%
309,RL,2016,-0.2855879578491217,-0.126504265,5.30%,1.84%
310,ROP,2016,0.17108170068138517,-0.015071741000000001,5.30%,1.84%
311,ROST,2016,0.0471625698921061,0.150552941,5.30%,1.84%
312,RRC,2016,0.1823145052645192,0.022743159,5.30%,1.84%
313,RSG,2016,0.34219362343413806,0.0116593,5.30%,1.84%
314,SBUX,2016,-0.15146430908307584,0.367018985,5.30%,1.84%
315,SEE,2016,0.19203784891511,0.114313853,5.30%,1.84%
316,SHW,2016,0.21075586542696834,0.0,5.30%,1.84%
317,SIG,2016,-0.1047894968142058,0.274117526,5.30%,1.84%
318,SJM,2016,0.11532749529522324,0.0,5.30%,1.84%
319,SLB,2016,0.20082486201540695,-0.067485436,5.30%,1.84%
320,SLG,2016,0.20733300161029677,-0.006234712,5.30%,1.84%
321,SNA,2016,0.2421559114114391,0.414911785,5.30%,1.84%
322,SNA,2016,0.14480688440422163,0.380662979,5.30%,1.84%
323,SO,2016,0.019589738138521717,0.0,5.30%,1.84%
324,SPGI,2016,0.4527619249062247,0.209339012,5.30%,1.84%
325,SRCL,2016,-0.3675921915724818,-0.095144214,5.30%,1.84%
326,SRE,2016,0.08425279807350239,0.0,5.30%,1.84%
327,STT,2016,0.42276961416427294,-0.00639722,5.30%,1.84%
328,STX,2016,-0.3186359956034934,0.051035827,5.30%,1.84%
329,STZ,2016,0.30902960169621485,0.23469539899999997,5.30%,1.84%
330,SWK,2016,0.007223359404478602,0.30626873,5.30%,1.84%
331,SWK,2016,0.3541809446999957,0.298197693,5.30%,1.84%
332,SWKS,2016,-0.014012121576772008,0.22575072899999998,5.30%,1.84%
333,SWN,2016,0.07411766052246094,-0.120724579,5.30%,1.84%
334,SYF,2016,0.29291263993288097,0.17984238100000002,5.30%,1.84%
335,SYK,2016,0.25238628535266394,0.271077668,5.30%,1.84%
336,SYY,2016,0.49284510946252946,0.319694943,5.30%,1.84%
337,T,2016,0.2304383566881416,0.0,5.30%,1.84%
338,TAP,2016,0.05645479195060865,0.061073864000000005,5.30%,1.84%
339,TDC,2016,0.19317717951819602,0.14632156400000002,5.30%,1.84%
340,TDG,2016,0.35473533640642607,0.206087871,5.30%,1.84%
341,TEL,2016,0.0077039763688953045,0.054819448,5.30%,1.84%
342,TGNA,2016,-0.03862554892258818,0.112844235,5.30%,1.84%
343,TGT,2016,0.04047021270807605,0.095320703,5.30%,1.84%
344,TJX,2016,0.07965342453338575,0.343931445,5.30%,1.84%
345,TMO,2016,0.10095487632144429,0.205850681,5.30%,1.84%
346,TRIP,2016,-0.22235452795900923,0.030152786,5.30%,1.84%
347,TROW,2016,-0.0019217558419319936,0.209085,5.30%,1.84%
348,TRV,2016,0.12343347219306833,0.111318264,5.30%,1.84%
349,TSCO,2016,-0.0980120789021004,0.138673895,5.30%,1.84%
350,TSN,2016,0.5973658874748102,0.246655382,5.30%,1.84%
351,TXN,2016,0.5123624609974873,0.353220821,5.30%,1.84%
352,TXT,2016,-0.22828913790454564,0.088305475,5.30%,1.84%
353,TXT,2016,0.4325485653860235,0.184754615,5.30%,1.84%
354,UAA,2016,-0.32009863813555617,0.179828765,5.30%,1.84%
355,UAL,2016,0.4678673828241502,2.46e-05,5.30%,1.84%
356,UDR,2016,-0.00977903504357458,0.043494619000000005,5.30%,1.84%
357,UHS,2016,-0.016938965128523775,-0.026780821,5.30%,1.84%
358,ULTA,2016,0.1501880522041419,0.185587046,5.30%,1.84%
359,UNH,2016,0.4229799003278665,0.299314914,5.30%,1.84%
360,UNM,2016,0.6366292644572693,0.147917362,5.30%,1.84%
361,UPS,2016,0.28138138021683967,0.190606997,5.30%,1.84%
362,URBN,2016,-0.3100973920942698,0.085025818,5.30%,1.84%
363,URI,2016,1.6371083236488095,0.077309511,5.30%,1.84%
364,USB,2016,0.36125249106343427,0.0,5.30%,1.84%
365,V,2016,0.0713072492331035,-0.007049718000000001,5.30%,1.84%
366,VFC,2016,-0.06885774018419355,-0.037401277000000004,5.30%,1.84%
367,VFC,2016,-0.1682556101559709,-0.008292711,5.30%,1.84%
368,VMC,2016,0.5121180992153023,0.28719306699999997,5.30%,1.84%
369,VNO,2016,0.2492970007122317,-0.183941795,5.30%,1.84%
370,VRSK,2016,0.14741337863514503,0.18571351,5.30%,1.84%
371,VRSN,2016,0.06860534973335453,0.03871162,5.30%,1.84%
372,VRTX,2016,-0.08669771825031447,0.024081317999999997,5.30%,1.84%
373,VTR,2016,0.1606031509677759,-0.020150796999999998,5.30%,1.84%
374,VZ,2016,0.014863737097530638,0.0,5.30%,1.84%
375,WAT,2016,0.1710700916706358,0.098394741,5.30%,1.84%
376,WBA,2016,-0.01200497989056104,0.04760778400000001,5.30%,1.84%
377,WDC,2016,-0.44293740023298755,-0.038457096,5.30%,1.84%
378,WEC,2016,0.07295887447464366,0.12685407099999998,5.30%,1.84%
379,WFC,2016,0.159038625922443,0.0,5.30%,1.84%
380,WHR,2016,0.3221568362226055,0.12661161,5.30%,1.84%
381,WM,2016,0.3414366356988541,0.072317193,5.30%,1.84%
382,WMB,2016,0.5631904495472471,0.134832511,5.30%,1.84%
383,WMT,2016,-0.18642272066931953,0.0,5.30%,1.84%
384,WU,2016,0.1479497516778574,-0.054511042999999995,5.30%,1.84%
385,WY,2016,0.2444500441407571,0.180869195,5.30%,1.84%
386,WYNN,2016,0.5634124142571633,-0.10764739300000001,5.30%,1.84%
387,XEL,2016,0.09167201584282947,0.102457077,5.30%,1.84%
388,XOM,2016,0.1516233603029602,0.0,5.30%,1.84%
389,XRAY,2016,-0.05661030644971332,0.073189965,5.30%,1.84%
390,XRX,2016,0.15551901443374283,-0.03332341,5.30%,1.84%
391,XYL,2016,0.40940354760725817,0.166924454,5.30%,1.84%
392,YUM,2016,0.38493671248306804,0.118252989,5.30%,1.84%
393,ZBH,2016,0.17524718327972155,0.142674945,5.30%,1.84%
394,ZION,2016,0.8973196251478481,0.19968586100000002,5.30%,1.84%
395,ZTS,2016,0.27358859428973625,0.01525411,5.30%,1.84%
396,A,2017,0.5896231322220389,0.319637738,5.70%,2.33%
397,AAL,2017,0.1813697347230061,0.037694996,5.70%,2.33%
398,AAP,2017,-0.2519505233019119,0.141418286,5.70%,2.33%
